baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AC007229.3	8014.47382572556	2.2388520139896	0.0502534812181993	44.5511825194471	0	0
AC007276.6	895.081607544751	4.18322090490793	0.109067235550532	38.3545148439174	0	0
AC091167.3	2553.92589864103	-4.63075357008267	0.0995524054248416	-46.5157376190043	0	0
AF129075.5	2773.24711968443	-3.67180453049906	0.0671157333161239	-54.7085511709212	0	0
ARHGAP32	4825.99712950551	-3.36363546384475	0.0769718174092099	-43.6995718311087	0	0
ATP11A	2871.94178870311	-3.09203438522036	0.0697149728789012	-44.3525150700611	0	0
CD37	4857.38086678852	-1.98961003073334	0.0497355033928552	-40.0038180978613	0	0
CSAG1	1236.03363902936	-4.94798503802628	0.111987893608329	-44.183213726044	0	0
CTA-384D8.28	2830.24689430897	-4.76729452359872	0.0879614788236282	-54.197525864221	0	0
CTD-2308N23.4	18783.7142763239	-3.90711296003466	0.0594374808943097	-65.7348343376497	0	0
GCNT3	5922.92392851166	3.80401192303886	0.0729443112894421	52.1495351151454	0	0
GPR153	2600.52565600574	-4.81766168287439	0.0743341679852763	-64.8108644174056	0	0
IFT80	4847.31863727312	2.97118575437887	0.0713462176916289	41.6446148164554	0	0
KLC3	2424.76470619922	-3.83976230699373	0.0954987208822938	-40.2074736867565	0	0
MIRLET7B	22196.5453851708	1.48922484068804	0.0348021448369407	42.7911799018579	0	0
PLCH1	4791.99563020382	-2.30637793811806	0.046032683101966	-50.1030524987921	0	0
PPARD	2521.28487812332	-3.5209908419192	0.074103295628804	-47.5146322716393	0	0
RICTOR	1134.98922964061	-4.11561952285472	0.0863406840095063	-47.6672100767881	0	0
RNU6-588P	3084.79384183825	-3.97393512571237	0.0684467858995984	-58.0587543079314	0	0
RP11-448G4.2	1763.75796110186	-3.84505619309539	0.0865351644804658	-44.4334533386525	0	0
RP11-5N11.4	1462.27177504033	-2.35148483738817	0.0604964098050084	-38.8698245890534	0	0
RP11-796E2.4	9254.51076087055	-3.2186217972601	0.0678313005787196	-47.4503919252561	0	0
RP4-671O14.5	6737.46379198949	-4.05447493500318	0.0511340431173153	-79.2911079943574	0	0
RP5-894A10.5	5911.71111310459	2.60191524490398	0.0586383703804089	44.3722297878401	0	0
RPL29P30	9090.42552870065	3.08701421835145	0.0669686100244727	46.0964355871109	0	0
SLC30A5	1191.40264516082	-4.93162767642046	0.0992342542541636	-49.6968281112824	0	0
TREML4	23489.6156209633	-2.12469328460109	0.0473748529717252	-44.8485462502475	0	0
