"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","M24C_1","M24C_2","M24IK1_1","M24IK1_2","P24C_1","P24C_2","P24IK1_1","P24IK1_2"
"1","AL021978.1",519.952948600421,-5.54674664154461,0.224743784946748,-24.6803115950854,1.74033919603602e-134,3.32648433930325e-130,1260.61159938342,1102.02147428765,23.7186796865802,30.1740261183177,747.384532211096,962.473996339841,14.2629956293574,18.9762851471178
"2","AC000065.1",483.762627900836,-4.18909959072832,0.185619426502034,-22.5682175064926,8.89604676280945e-113,8.50195189121699e-109,645.730413254797,513.057760276702,29.4111628113594,37.9330614058851,1146.69015223249,1367.01172681836,66.5606462703347,63.7061001367525
"3","UGT3A2",538.836262221245,-4.46834728638452,0.19902721374945,-22.4509362423654,1.25304722792311e-111,7.98358157150745e-108,889.01863627262,977.912469641878,29.4111628113594,41.3815215336929,985.128996763308,1267.91355794275,62.9948973629953,56.9288554413533
"4","KLF2",489.512808993477,6.47598971461109,0.307561118065548,21.0559441171979,2.01724065578431e-98,9.63938447366533e-95,2.80447519328902,6.64869667745186,455.398649982339,326.741597109783,23.6430959223194,8.14505497607764,1692.54214801708,1400.17875406948
"5","FADS1",1456.26385908699,-2.36064870769768,0.113626107949411,-20.7755836251004,7.19839512384029e-96,2.75180248794166e-92,2962.92804170985,3101.61700003129,511.374734042668,606.928982494162,1842.8479766119,1859.78755287106,385.10088199265,379.525702942356
"6","SCML4",842.871990882815,2.88212658057075,0.139335529225362,20.6847930071675,4.7480742089506e-95,1.51257817383136e-91,194.209907135265,185.055390855743,1474.35312931782,1656.98509141162,194.398788694626,236.206594306252,1438.18539262687,1363.58163271432
"7","SLC2A9",310.013756588867,-4.53137381902768,0.241609847421505,-18.7549219015167,1.76476739114937e-78,4.818823416347e-75,851.158221163218,838.289839415389,40.7961290609179,46.5542117254045,315.241278964259,367.884983086173,10.6972467220181,9.48814257355889
"8","LPXN",1031.48040067897,3.00093384581916,0.164321764055436,18.262546431809,1.64440062496659e-74,3.92888419320142e-71,271.332974950713,347.948459453314,2642.26091708503,2794.11481855622,128.723522243739,139.823443755999,1108.94791018254,818.691159204224
"9","HSH2D",1895.30745770691,2.33104837550838,0.129059015580492,18.0618794047327,6.3619240036611e-73,1.35113128228865e-69,473.255188867522,588.963714010944,2635.61968677279,2312.19251569509,673.828233786103,745.272530311104,3839.12299023537,3894.20480197638
"10","ITGA5",1436.80254373387,-2.63577662090673,0.147975791689419,-17.8122150306779,5.68161917679462e-71,1.08598468945252e-67,1820.10440044457,2010.67668687273,308.342835925542,255.186049457773,2806.96088811092,3232.22931634014,601.422982371238,459.497190348066
