,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,M24C_1,M24C_2,M24IK1_1,M24IK1_2,P24C_1,P24C_2,P24IK1_1,P24IK1_2
1,AL021978.1,519.9529486,-5.546746642,0.224743785,-24.6803116,1.74E-134,3.33E-130,1260.611599,1102.021474,23.71867969,30.17402612,747.3845322,962.4739963,14.26299563,18.97628515
2,AC000065.1,483.7626279,-4.189099591,0.185619427,-22.56821751,8.90E-113,8.50E-109,645.7304133,513.0577603,29.41116281,37.93306141,1146.690152,1367.011727,66.56064627,63.70610014
3,UGT3A2,538.8362622,-4.468347286,0.199027214,-22.45093624,1.25E-111,7.98E-108,889.0186363,977.9124696,29.41116281,41.38152153,985.1289968,1267.913558,62.99489736,56.92885544
4,KLF2,489.512809,6.475989715,0.307561118,21.05594412,2.02E-98,9.64E-95,2.804475193,6.648696677,455.39865,326.7415971,23.64309592,8.145054976,1692.542148,1400.178754
5,FADS1,1456.263859,-2.360648708,0.113626108,-20.77558363,7.20E-96,2.75E-92,2962.928042,3101.617,511.374734,606.9289825,1842.847977,1859.787553,385.100882,379.5257029
6,SCML4,842.8719909,2.882126581,0.139335529,20.68479301,4.75E-95,1.51E-91,194.2099071,185.0553909,1474.353129,1656.985091,194.3987887,236.2065943,1438.185393,1363.581633
7,SLC2A9,310.0137566,-4.531373819,0.241609847,-18.7549219,1.76E-78,4.82E-75,851.1582212,838.2898394,40.79612906,46.55421173,315.241279,367.8849831,10.69724672,9.488142574
8,LPXN,1031.480401,3.000933846,0.164321764,18.26254643,1.64E-74,3.93E-71,271.332975,347.9484595,2642.260917,2794.114819,128.7235222,139.8234438,1108.94791,818.6911592
9,HSH2D,1895.307458,2.331048376,0.129059016,18.0618794,6.36E-73,1.35E-69,473.2551889,588.963714,2635.619687,2312.192516,673.8282338,745.2725303,3839.12299,3894.204802
10,ITGA5,1436.802544,-2.635776621,0.147975792,-17.81221503,5.68E-71,1.09E-67,1820.1044,2010.676687,308.3428359,255.1860495,2806.960888,3232.229316,601.4229824,459.4971903
11,CEACAM6,919.367254,-3.808284893,0.21883204,-17.40277561,7.86E-68,1.37E-64,1889.515161,2427.328345,157.4920331,238.8058639,1180.841291,1327.643961,64.18348033,69.12789589
12,IL1B,341.248829,-4.17595621,0.240565414,-17.35892179,1.69E-67,2.69E-64,270.6318562,259.2991704,12.33371344,17.24230064,835.3893893,1223.115756,71.31497815,40.66346817
13,S1PR1,334.3443636,4.816687747,0.29067845,16.57050168,1.14E-61,1.67E-58,18.93020755,29.36507699,391.8325884,543.9945852,19.70257994,16.29010995,852.2139889,802.4257719
14,ECM1,1331.331075,-3.404561206,0.207206058,-16.43079954,1.15E-60,1.57E-57,1805.380906,2994.129737,217.2631059,267.2556599,1983.393047,2948.509901,215.1335174,219.5827281
15,LGR6,353.9766578,-5.53606968,0.339329886,-16.31471293,7.76E-60,9.88E-57,15.42461356,21.6082642,0,0,1280.667696,1452.534804,34.4689061,27.10897878
16,TMEM236,355.3106679,-4.759746931,0.291954657,-16.30303482,9.39E-60,1.12E-56,764.920609,856.5737553,23.71867969,19.82864573,400.6191254,719.4798562,35.65748907,21.68718303
17,PRKACB,1075.037476,2.05656057,0.126221451,16.29327308,1.10E-59,1.24E-56,517.4256732,521.3686311,1912.67433,1873.375964,321.8088056,327.1597082,1558.232273,1568.254423
18,LDB3,321.5546185,-3.722167977,0.232055436,-16.03999479,6.72E-58,7.13E-55,593.1465034,864.3305681,49.33485375,68.10708752,518.834605,414.0402946,41.60040392,23.04263196
19,COL6A3,2678.403751,-4.285791328,0.268525645,-15.96045446,2.41E-57,2.42E-54,370.1907255,347.3944014,11.38496625,13.79384051,6727.774295,12691.35316,719.0926963,546.2459224
20,PCLO,1308.225666,-2.126713853,0.134895533,-15.76563591,5.36E-56,5.13E-53,552.4816131,447.6789096,104.3621906,124.1445646,3675.187911,3841.75093,925.9061329,794.2930783
21,PCDH12,204.0039522,-5.373497322,0.342043221,-15.7099951,1.29E-55,1.18E-52,159.1539672,207.7717712,3.79498875,5.172690192,462.3538758,764.2776586,11.88582969,17.62083621
22,TMEM217,240.4670006,3.355064028,0.215307338,15.58267388,9.55E-55,8.30E-52,37.86041511,50.41928314,563.5558294,469.8526924,44.65918119,38.01025656,301.9000742,417.4782732
23,SPARC,205.8541667,-4.092291499,0.263697873,-15.51886428,2.59E-54,2.15E-51,140.2237597,179.5148103,7.5899775,9.483265351,677.7687498,556.5787567,49.9204847,25.75352984
24,SV2A,440.142644,-3.055887886,0.199143096,-15.34518617,3.81E-53,3.04E-50,511.8167228,633.8424166,45.539865,70.69343262,903.6916664,1077.862275,155.704369,121.9904045
