"Control1_UT"	"Control1_MT"	"Control1_polyAdT"	"Control2_UT"	"Control2_MT"	"Control2_polyAdT"	"Control3_UT"	"Control3_MT"	"Control3_polyAdT"	"Patient1_UT.count"	"Patient1_MT.count"	"Patient1_polyAdT.count"	"Patient4_UT.count"	"Patient4_MT.count"	"Patient4_polyAdT.count"
"5S_rRNA"	3	6	8	2	7	6	3	3	7	1	0	3	3	3	5
"5_8S_rRNA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7SK"	14	6	5	5	6	4	3	3	5	3	1	7	8	5	4
"A1BG"	72	77	21	59	40	21	37	31	9	14	13	14	62	39	22
"A1BG-AS1"	442	485	350	290	273	179	291	259	216	495	157	237	453	384	361
"A1CF"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"A2M"	1215	798	217	515	234	33	678	323	163	741	54	103	455	175	41
"A2M-AS1"	575	455	211	478	791	214	981	960	482	247	102	188	1025	849	214
"A2ML1"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
"A2ML1-AS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A2ML1-AS2"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"A2MP1"	0	2	1	0	0	0	0	1	0	4	3	0	3	0	0
"A3GALT2"	4	3	2	1	2	1	2	2	3	1	0	1	5	1	5
"A4GALT"	96	126	46	34	27	5	30	31	22	78	23	22	79	57	28
"A4GNT"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAAS"	1024	1102	927	600	689	567	617	491	630	920	191	487	734	699	899
"AACS"	947	957	742	494	571	466	336	351	408	711	246	360	668	587	633
"AACSP1"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"AADAC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACL2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AADACL2-AS1"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"AADACL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACL4"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"AADACP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADAT"	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
"AAGAB"	931	960	1042	575	579	655	448	341	706	656	170	640	713	766	981
"AAK1"	13214	12132	6023	9367	9827	5208	7375	6613	4792	6524	1998	3340	10622	9952	4040
"AAMDC"	69	74	36	57	42	21	48	56	54	84	34	24	51	42	34
"AAMP"	1679	1786	1408	1105	1081	870	950	820	957	1940	842	889	1370	1019	2156
"AANAT"	1	7	1	5	2	0	0	1	0	0	0	1	2	4	0
"AAR2"	820	1016	919	567	478	543	441	378	643	552	156	432	598	618	712
"AARD"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"AARS"	3282	4130	8226	1926	1923	5015	1602	1219	4553	2993	598	4551	2480	2656	7381
"AARS2"	1241	1428	1137	788	911	721	778	693	1003	1232	352	693	1030	881	1298
"AARSD1"	137	127	108	91	80	98	54	51	89	75	53	92	89	80	112
"AARSP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AASDH"	753	659	623	487	362	424	297	238	452	324	63	290	660	587	496
"AASDHPPT"	1321	1156	1123	734	634	688	543	394	812	634	110	534	971	968	924
"AASS"	277	226	216	210	218	128	18	8	60	123	33	111	182	152	130
"AATBC"	111	63	13	179	95	21	81	28	0	123	41	21	74	30	5
"AATF"	1323	1266	1205	778	845	691	705	611	940	1280	335	704	1060	886	1480
"AATK"	561	294	69	339	260	44	528	358	134	253	107	60	537	185	146
"ABALON"	49	50	53	35	29	41	20	11	31	54	13	35	38	37	51
"ABAT"	837	757	414	459	449	215	464	398	364	652	162	281	695	580	353
"ABBA01000933.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABBA01000935.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABBA01006766.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABBA01045074.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABBA01045074.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCA1"	3723	2712	803	3442	2801	400	1033	935	398	3566	564	579	1375	1164	470
"ABCA10"	138	101	69	65	77	34	46	52	43	58	6	28	76	77	45
"ABCA11P"	49	64	27	38	20	24	11	7	18	21	0	20	35	35	22
"ABCA12"	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
"ABCA13"	5	1	6	7	2	1	1	0	0	2	0	0	2	0	1
"ABCA17P"	11	10	6	5	10	3	6	4	3	11	7	1	8	7	7
"ABCA2"	2669	2712	1435	1943	2230	1182	1992	1603	1710	2816	1123	1475	2307	2037	1715
